figure,specimen,row_px1200,x_pt,y_pt,run_width_px,slip_in,load_kips
Fig. 3.15,DBLNB-05ST,570,375.98,444.23,434,0.41649,43.916
Fig. 3.15,DBLNB-05ST,571,375.95,444.29,437,0.41643,43.898
Fig. 3.15,DBLNB-05ST,572,375.89,444.35,441,0.41629,43.88
Fig. 3.15,DBLNB-05ST,573,375.89,444.41,443,0.41629,43.863
Fig. 3.15,DBLNB-05ST,574,375.86,444.47,446,0.41623,43.845
Fig. 3.15,DBLNB-05ST,575,375.86,444.53,450,0.41623,43.827
Fig. 3.15,DBLNB-05ST,576,375.89,444.59,453,0.41629,43.809
Fig. 3.15,DBLNB-05ST,577,375.92,444.65,456,0.41636,43.792
Fig. 3.15,DBLNB-05ST,578,375.92,444.71,458,0.41636,43.774
Fig. 3.15,DBLNB-05ST,579,374.66,444.77,504,0.4136,43.756
Fig. 3.15,DBLNB-05ST,580,374.6,444.83,510,0.41347,43.738
Fig. 3.15,DBLNB-05ST,581,374.54,444.89,516,0.41334,43.721
Fig. 3.15,DBLNB-05ST,582,374.54,444.95,520,0.41334,43.703
Fig. 3.15,DBLNB-05ST,583,374.51,445.01,525,0.41327,43.685
Fig. 3.15,DBLNB-05ST,584,374.54,445.07,528,0.41334,43.668
Fig. 3.15,DBLNB-05ST,585,374.54,445.13,532,0.41334,43.65
Fig. 3.15,DBLNB-05ST,586,374.51,445.19,535,0.41327,43.632
Fig. 3.15,DBLNB-05ST,587,374.54,445.25,538,0.41334,43.614
Fig. 3.15,DBLNB-05ST,588,374.54,445.31,540,0.41334,43.597
Fig. 3.15,DBLNB-05ST,589,373.58,445.37,574,0.41123,43.579
Fig. 3.15,DBLNB-05ST,590,373.49,445.43,579,0.41104,43.561
Fig. 3.15,DBLNB-05ST,591,373.43,445.49,583,0.41091,43.544
Fig. 3.15,DBLNB-05ST,592,373.37,445.55,587,0.41077,43.526
Fig. 3.15,DBLNB-05ST,593,373.34,445.61,590,0.41071,43.508
Fig. 3.15,DBLNB-05ST,594,373.31,445.67,593,0.41064,43.49
Fig. 3.15,DBLNB-05ST,595,373.28,445.73,596,0.41058,43.473
Fig. 3.15,DBLNB-05ST,596,373.25,445.79,597,0.41051,43.455
Fig. 3.15,DBLNB-05ST,597,373.22,445.85,600,0.41045,43.437
Fig. 3.15,DBLNB-05ST,598,373.22,445.91,602,0.41045,43.42
Fig. 3.15,DBLNB-05ST,599,373.22,445.97,604,0.41045,43.402
Fig. 3.15,DBLNB-05ST,600,371.9,446.03,648,0.40755,43.384
Fig. 3.15,DBLNB-05ST,601,371.81,446.09,653,0.40736,43.366
Fig. 3.15,DBLNB-05ST,602,371.75,446.15,657,0.40723,43.349
Fig. 3.15,DBLNB-05ST,603,371.69,446.21,661,0.40709,43.331
Fig. 3.15,DBLNB-05ST,604,371.63,446.27,663,0.40696,43.313
Fig. 3.15,DBLNB-05ST,605,371.6,446.33,666,0.4069,43.295
Fig. 3.15,DBLNB-05ST,606,371.57,446.39,669,0.40683,43.278
Fig. 3.15,DBLNB-05ST,607,371.57,446.45,671,0.40683,43.26
Fig. 3.15,DBLNB-05ST,608,371.51,446.51,673,0.4067,43.242
Fig. 3.15,DBLNB-05ST,609,371.51,446.57,675,0.4067,43.225
Fig. 3.15,DBLNB-05ST,610,371.51,446.63,677,0.4067,43.207
Fig. 3.15,DBLNB-05ST,611,370.55,446.69,711,0.4046,43.189
Fig. 3.15,DBLNB-05ST,612,370.43,446.75,715,0.40433,43.171
Fig. 3.15,DBLNB-05ST,613,370.34,446.81,720,0.40414,43.154
Fig. 3.15,DBLNB-05ST,614,370.31,446.87,723,0.40407,43.136
Fig. 3.15,DBLNB-05ST,615,370.25,446.93,727,0.40394,43.118
Fig. 3.15,DBLNB-05ST,616,370.22,446.99,728,0.40387,43.101
Fig. 3.15,DBLNB-05ST,617,370.19,447.05,731,0.40381,43.083
Fig. 3.15,DBLNB-05ST,618,370.16,447.11,734,0.40374,43.065
Fig. 3.15,DBLNB-05ST,619,370.16,447.17,736,0.40374,43.047
Fig. 3.15,DBLNB-05ST,620,370.13,447.23,737,0.40368,43.03
Fig. 3.15,DBLNB-05ST,621,370.13,447.29,739,0.40368,43.012
Fig. 3.15,DBLNB-05ST,622,362.21,447.35,519,0.38633,42.994
Fig. 3.15,DBLNB-05ST,623,362.03,447.41,521,0.38593,42.977
Fig. 3.15,DBLNB-05ST,624,361.88,447.47,524,0.3856,42.959
Fig. 3.15,DBLNB-05ST,625,361.79,447.53,525,0.38541,42.941
Fig. 3.15,DBLNB-05ST,626,361.67,447.59,525,0.38514,42.923
Fig. 3.15,DBLNB-05ST,627,361.55,447.65,525,0.38488,42.906
Fig. 3.15,DBLNB-05ST,628,361.43,447.71,525,0.38462,42.888
Fig. 3.15,DBLNB-05ST,629,361.31,447.77,523,0.38436,42.87
Fig. 3.15,DBLNB-05ST,630,361.16,447.83,522,0.38403,42.852
Fig. 3.15,DBLNB-05ST,631,360.98,447.89,518,0.38363,42.835
Fig. 3.15,DBLNB-05ST,632,358.37,447.95,455,0.37792,42.817
Fig. 3.15,DBLNB-05ST,633,358.22,448.01,458,0.37759,42.799
Fig. 3.15,DBLNB-05ST,634,358.1,448.07,460,0.37732,42.782
Fig. 3.15,DBLNB-05ST,635,357.98,448.13,462,0.37706,42.764
Fig. 3.15,DBLNB-05ST,636,357.86,448.19,462,0.3768,42.746
