figure,specimen,drawing_index,pdf_x_pt,pdf_y_pt,slip_in,total_load_kip
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,166.402,426.125,0.03138,154.664
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,167.151,426.125,0.03242,154.664
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,167.151,425.376,0.03242,155.582
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,167.9,425.376,0.03345,155.582
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,167.9,424.628,0.03345,156.501
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,168.649,424.628,0.03448,156.501
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,168.649,423.88,0.03448,157.42
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,169.398,423.88,0.03552,157.42
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,170.147,423.88,0.03655,157.42
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,170.147,423.132,0.03655,158.338
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,170.896,423.132,0.03759,158.338
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,170.896,422.384,0.03759,159.257
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,171.645,422.384,0.03862,159.257
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,172.394,422.384,0.03965,159.257
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,172.394,421.636,0.03965,160.176
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,173.143,421.636,0.04069,160.176
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,173.892,421.636,0.04172,160.176
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,173.892,420.887,0.04172,161.094
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,174.641,420.887,0.04275,161.094
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,175.39,420.887,0.04379,161.094
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,175.39,420.139,0.04379,162.013
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,176.139,420.139,0.04482,162.013
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,176.888,420.139,0.04585,162.013
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,177.637,420.139,0.04689,162.013
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,178.386,420.139,0.04792,162.013
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,178.386,419.391,0.04792,162.931
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,178.386,420.139,0.04792,162.013
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,178.386,419.391,0.04792,162.931
